IP1,IP2,IP3,IP4,case
79,171,101,199,0
149,217,152,3,0
162,4,123,30,0
92,92,120,123,0
172,254,55,133,0
145,55,157,235,0
153,3,124,234,0
194,14,116,5,0
87,94,129,79,0
10,46,97,165,0
196,178,59,123,0
79,156,212,62,0
214,34,34,109,0
1,97,60,193,0
24,138,13,170,0
109,133,191,83,0
36,1,132,104,0
110,252,22,171,0
226,85,167,124,0
27,65,39,63,0
43,57,133,6,0
52,4,93,7,0
229,198,76,138,0
177,241,145,93,0
81,216,250,205,0
186,128,59,216,0
232,202,247,50,0
160,163,58,185,0
199,58,73,242,0
203,8,215,196,0
206,66,22,229,0
26,81,157,236,0
212,207,6,227,0
18,204,201,164,0
91,28,25,245,0
26,254,157,34,0
201,255,164,148,0
70,242,185,109,0
79,87,78,228,0
31,96,222,187,0
69,175,216,78,0
128,208,31,246,0
186,159,101,173,0
32,130,7,187,0
240,192,174,111,0
241,70,90,83,0
80,95,241,42,0
27,249,40,147,0
216,192,112,119,0
2,79,53,210,0
86,21,118,191,0
13,6,227,89,0
146,213,72,202,0
177,154,1,50,0
78,73,37,163,0
87,220,149,4,0
18,176,207,69,0
31,50,248,172,0
107,107,24,156,0
80,241,238,129,0
141,48,204,71,0
46,113,167,108,0
129,53,62,175,0
169,56,63,203,0
85,157,7,68,0
1,237,46,84,0
151,117,142,178,0
115,150,136,46,0
91,173,40,157,0
220,101,41,97,0
130,167,218,51,0
71,35,68,208,0
27,255,36,119,0
181,185,77,106,0
124,118,90,209,0
72,46,97,8,0
106,177,35,105,0
31,101,237,145,0
157,56,208,249,0
188,82,183,171,0
178,75,170,149,0
47,160,92,2,0
116,124,151,12,0
154,131,199,136,0
107,213,98,130,0
11,117,248,110,0
114,153,97,34,0
244,58,241,216,0
55,70,192,50,0
233,240,140,138,0
166,169,79,41,0
53,158,204,97,0
17,48,228,49,0
43,135,39,19,0
127,39,78,54,0
168,43,38,50,0
41,34,137,155,0
167,208,69,120,0
13,64,61,200,0
49,93,7,171,0
131,162,136,28,0
201,38,20,120,0
144,230,104,206,0
185,198,124,135,0
156,187,208,236,0
6,231,37,24,0
202,20,207,200,0
221,27,41,195,0
143,120,165,207,0
86,218,63,171,0
226,33,209,47,0
123,242,154,128,0
221,110,143,168,0
4,177,97,90,0
57,133,249,105,0
116,237,9,133,0
47,29,169,78,0
28,90,112,216,0
132,220,215,126,0
15,28,38,159,0
17,87,152,103,0
72,239,113,180,0
172,19,35,86,0
86,80,74,15,0
206,127,251,221,0
203,165,47,134,0
62,140,240,54,0
188,130,41,33,0
103,65,70,240,0
59,228,139,103,0
115,6,142,56,0
120,28,105,38,0
137,23,238,31,0
198,181,141,52,0
206,23,9,150,0
63,24,110,89,0
226,179,231,132,0
199,154,205,5,0
134,55,203,175,0
9,174,147,144,0
236,123,202,209,0
139,69,52,18,0
78,179,225,227,0
5,12,69,246,0
108,14,34,62,0
79,16,173,25,0
163,216,137,166,0
48,90,63,228,0
221,32,151,139,0
206,12,209,23,0
14,238,205,154,0
88,122,211,212,0
237,193,69,27,0
173,43,138,179,0
65,221,134,53,0
36,245,17,71,0
31,16,16,44,0
35,64,3,135,0
2,228,110,5,0
250,248,224,48,0
183,233,20,37,0
128,32,73,162,0
109,51,131,56,0
58,85,38,41,0
83,129,136,117,0
4,85,100,243,0
88,141,61,41,0
15,129,175,57,0
246,41,5,96,0
60,240,240,41,0
140,107,5,247,0
237,118,139,135,0
114,153,157,64,0
52,24,77,163,0
168,120,63,7,0
188,43,131,217,0
246,97,173,173,0
139,157,111,161,0
40,194,248,115,0
247,37,222,39,0
208,33,160,100,0
52,113,241,117,0
222,34,252,243,0
225,253,178,175,0
205,185,131,194,0
50,61,70,126,0
253,156,254,213,0
77,214,198,127,0
200,43,20,70,0
98,145,125,99,0
109,245,48,239,0
8,137,152,223,0
86,113,104,26,0
90,155,211,225,0
203,23,71,21,0
88,42,122,139,0
98,224,79,103,0
196,8,222,189,0
239,204,249,68,0
109,178,174,194,0
55,205,107,99,0
162,12,33,193,0
11,195,159,77,0
146,195,178,72,0
31,136,250,180,0
68,69,72,79,0
133,215,160,128,0
168,29,152,237,0
33,210,110,49,0
12,54,10,94,0
168,189,76,41,0
34,82,83,138,0
114,88,152,197,0
219,55,4,51,0
225,147,200,164,0
171,2,159,20,0
171,49,191,146,0
98,187,195,121,0
134,17,90,183,0
50,190,138,68,0
138,207,199,53,0
19,75,182,172,0
165,159,21,59,0
40,156,121,122,0
229,96,118,39,0
147,32,227,21,0
227,25,67,185,0
84,107,44,149,0
89,10,132,97,0
174,62,142,153,0
61,113,19,253,0
212,251,199,95,0
72,248,241,80,0
104,96,8,133,0
49,79,238,90,0
236,218,98,76,0
170,118,27,68,0
207,192,68,166,0
147,135,225,47,0
217,204,224,56,0
8,95,208,89,0
90,239,63,137,0
237,41,48,152,0
7,211,244,182,0
250,228,48,218,0
98,246,207,53,0
99,102,203,167,0
220,124,118,11,0
37,251,118,90,0
193,124,135,118,0
27,22,154,111,0
189,62,129,213,0
9,27,204,194,0
105,225,160,147,0
190,9,50,92,0
214,120,255,69,0
142,174,162,10,0
221,77,251,146,0
120,186,135,83,0
181,27,51,60,0
241,241,151,26,0
54,25,142,222,0
153,234,46,96,0
164,22,20,58,0
76,250,51,181,0
249,138,106,254,0
197,211,251,21,0
135,82,73,109,0
18,11,199,148,0
179,145,131,149,0
74,228,15,141,0
231,242,230,238,0
87,144,183,206,0
50,8,209,5,0
16,162,98,45,0
163,94,215,126,0
114,225,169,164,0
44,178,107,13,0
20,62,240,33,0
209,97,210,24,0
42,162,102,80,0
233,214,6,6,0
116,39,111,170,0
156,196,133,77,0
169,245,65,47,0
10,222,174,54,0
67,175,155,153,0
87,190,3,144,0
6,109,236,18,0
245,186,105,79,0
107,156,132,195,0
149,186,39,239,0
92,32,110,184,0
103,47,249,35,0
148,229,162,218,0
24,168,192,214,0
47,223,56,22,0
62,106,92,165,0
251,216,86,29,0
131,41,155,91,0
178,170,181,193,0
104,17,139,63,0
34,53,3,150,0
214,23,120,254,0
214,130,202,211,0
241,154,76,103,0
238,182,46,247,0
205,34,127,250,0
183,166,189,106,0
54,243,131,80,0
213,62,90,33,0
181,232,140,75,0
90,86,138,192,0
156,81,189,9,0
251,33,235,185,0
101,124,93,81,0
243,31,133,25,0
203,132,39,192,0
121,32,243,23,0
189,110,175,29,0
89,5,109,224,0
134,232,78,20,0
127,110,99,125,0
125,110,183,180,0
21,176,91,138,0
178,146,165,242,0
255,121,25,3,0
185,213,116,47,0
148,183,20,121,0
134,170,98,40,0
172,43,164,50,0
128,179,29,78,0
167,153,193,212,0
160,200,194,218,0
70,103,241,132,0
212,240,223,211,0
62,58,251,72,0
95,140,83,208,0
16,241,140,152,0
183,241,218,28,0
52,243,223,145,0
212,142,152,120,0
20,90,22,131,0
203,28,185,27,0
182,54,84,210,0
233,242,135,163,0
55,54,11,86,0
69,218,97,59,0
213,36,71,36,0
129,217,143,43,0
179,105,215,250,0
204,6,253,169,0
214,222,6,58,0
247,122,148,217,0
198,10,109,35,0
149,210,106,24,0
98,201,250,232,0
79,251,145,235,0
153,172,59,219,0
120,69,54,188,0
227,142,114,73,0
201,212,120,183,0
130,110,112,53,0
232,114,127,86,0
50,76,177,220,0
243,34,242,201,0
226,91,240,228,0
136,153,128,131,0
196,151,229,27,0
78,240,68,101,0
44,86,214,62,0
190,200,133,38,0
119,76,30,76,0
114,227,245,194,0
159,31,171,38,0
73,95,250,144,0
210,240,200,234,0
63,69,242,85,0
222,164,115,96,0
122,116,21,108,0
202,73,165,5,0
8,224,107,237,0
122,49,206,103,0
157,104,54,189,0
145,145,151,167,0
4,146,6,108,0
235,216,145,91,0
251,252,200,133,0
67,50,78,138,0
133,33,38,171,0
130,98,206,165,0
108,190,14,65,0
162,162,204,20,0
120,245,32,62,0
213,181,236,128,0
237,88,244,24,0
247,33,140,199,0
191,10,203,238,0
107,22,114,98,0
109,100,234,222,0
60,159,20,5,0
126,100,217,3,0
246,14,23,175,0
1,28,105,140,0
21,51,86,158,0
39,231,32,102,0
227,41,152,63,0
40,210,153,162,0
1,78,191,65,0
55,152,36,64,0
71,215,213,224,0
94,55,182,172,0
20,168,32,45,0
129,100,21,49,0
91,250,57,158,0
211,130,110,213,0
73,239,148,121,0
224,40,158,99,0
91,83,23,82,0
9,38,230,221,0
100,35,187,218,0
87,152,63,209,0
142,86,168,239,0
27,111,125,39,0
39,158,246,154,0
181,110,237,25,0
178,193,36,5,0
74,60,26,132,0
3,30,250,30,0
219,218,167,70,0
140,213,207,159,0
176,189,114,187,0
107,212,58,177,0
67,196,4,229,0
235,103,179,190,0
250,40,78,57,0
55,170,242,7,0
179,157,230,131,0
154,247,120,202,0
215,24,123,168,0
162,16,143,39,0
129,70,227,180,0
15,234,66,167,0
112,130,209,239,0
161,76,3,72,0
154,49,250,111,0
61,121,130,117,0
35,19,61,4,0
185,202,111,35,0
175,32,112,250,0
233,47,52,47,0
190,82,194,243,0
126,140,123,71,0
23,139,177,226,0
220,7,185,49,0
139,130,6,193,0
230,65,61,246,0
90,43,150,234,0
47,102,163,216,0
23,133,67,186,0
246,186,232,209,0
13,38,2,70,0
41,125,249,113,0
182,160,136,232,0
9,44,115,202,0
229,165,198,185,0
225,115,75,152,0
245,22,183,103,0
103,180,172,78,0
228,250,205,214,0
241,16,209,255,0
207,130,62,19,0
57,81,180,39,0
239,166,84,33,0
105,17,160,228,0
93,81,41,109,0
156,195,193,195,0
237,208,147,26,0
221,253,71,187,0
20,110,18,101,0
178,42,194,99,0
188,203,96,71,0
227,153,236,208,0
113,248,219,14,0
113,120,217,204,0
191,225,172,11,0
143,23,137,20,0
70,60,36,90,0
68,141,90,226,0
187,68,61,239,0
235,178,46,219,0
149,149,23,233,0
222,123,80,236,0
193,59,77,228,0
26,138,29,249,0
87,37,90,161,0
194,135,50,104,0
3,153,131,41,0
40,90,56,227,0
127,64,126,136,0
8,212,224,48,0
47,191,50,15,0
53,11,127,2,0
117,19,22,195,0
221,56,72,243,0
95,143,171,246,0
39,173,246,214,0
212,1,238,189,0
215,184,96,132,0
188,152,146,47,0
134,65,15,104,0
68,122,30,64,0
29,175,23,199,0
176,204,28,226,0
130,90,25,247,0
102,162,146,98,0
72,115,235,143,0
157,104,41,241,0
76,149,125,164,0
215,48,160,117,0
74,192,29,91,0
91,18,201,40,0
170,195,67,77,0
126,90,133,67,0
68,212,51,217,0
135,160,130,203,0
124,200,37,53,0
121,135,189,109,0
222,119,39,234,0
143,42,249,94,0
67,184,221,9,0
47,200,212,10,0
32,110,112,84,0
253,23,203,175,0
66,170,199,140,0
175,167,18,116,0
53,236,230,40,0
190,197,240,247,0
121,122,106,152,0
138,196,42,122,0
113,90,235,12,0
75,164,227,175,0
65,245,228,178,0
3,181,76,17,0
187,192,80,81,0
88,27,207,231,0
213,238,51,158,0
111,244,92,22,0
24,138,119,89,0
197,191,176,10,0
195,202,208,255,0
90,76,28,211,0
127,113,81,35,0
18,92,218,9,0
198,117,177,217,0
139,63,16,228,0
220,17,236,98,0
42,28,156,188,0
84,77,9,159,0
33,59,140,12,0
8,230,246,218,0
107,33,164,90,0
254,33,85,154,0
34,150,175,243,0
86,225,158,72,0
198,82,173,30,0
76,109,206,37,0
109,168,198,209,0
82,185,43,173,0
83,123,203,180,0
124,19,105,11,0
1,233,243,26,0
78,164,78,218,0
79,56,236,153,0
14,133,68,132,0
95,58,67,79,1
159,203,42,34,1
35,203,211,168,1
89,144,209,35,1
74,59,185,89,1
92,117,169,36,1
175,115,31,182,1
200,73,13,69,1
59,126,92,156,1
37,238,134,130,1
5,167,65,188,1
192,109,110,93,1
208,117,103,118,1
121,140,47,98,1
43,225,169,155,1
157,230,228,237,1
220,135,172,108,1
39,66,194,133,1
65,108,44,68,1
117,197,25,133,1
37,187,146,134,1
118,25,4,17,1
211,227,187,188,1
178,128,221,139,1
52,201,236,140,1
72,183,151,103,1
111,198,33,54,1
116,98,162,63,1
162,191,45,123,1
182,52,90,208,1
1,22,138,129,1
37,114,181,25,1
185,255,47,27,1
181,196,254,202,1
67,174,143,68,1
157,230,58,191,1
94,156,253,83,1
5,189,184,215,1
36,95,35,49,1
209,97,170,18,1
18,224,43,204,1
108,62,59,222,1
111,255,3,234,1
63,46,3,253,1
117,209,107,110,1
69,21,132,203,1
174,104,140,23,1
54,36,185,105,1
178,72,78,254,1
40,115,37,55,1
206,81,20,82,1
110,183,29,55,1
45,33,50,25,1
95,216,112,88,1
180,249,162,36,1
93,189,221,253,1
60,215,13,110,1
110,181,75,251,1
159,224,143,43,1
45,165,101,135,1
185,10,49,189,1
61,53,89,106,1
41,38,218,232,1
43,135,162,49,1
116,125,45,28,1
175,138,184,8,1
143,198,4,69,1
159,65,168,140,1
41,251,42,137,1
92,63,197,191,1
83,12,171,68,1
117,233,166,207,1
185,180,143,30,1
201,219,77,203,1
49,158,46,196,1
45,152,208,132,1
123,143,18,211,1
5,167,66,62,1
93,51,247,104,1
194,163,43,53,1
58,228,117,42,1
185,31,195,37,1
130,0,233,4,1
122,117,143,52,1
128,199,192,252,1
31,19,4,98,1
120,57,210,1,1
103,172,120,13,1
187,235,36,208,1
37,14,48,157,1
154,20,182,70,1
81,192,68,126,1
200,59,90,246,1
181,28,26,18,1
112,11,108,220,1
103,191,15,29,1
177,246,155,153,1
193,112,16,103,1
163,172,151,205,1
187,67,181,220,1
75,80,162,79,1
121,142,175,97,1
103,130,218,42,1
1,34,229,91,1
117,235,224,239,1
47,100,41,125,1
117,212,246,44,1
8,12,161,82,1
103,84,241,16,1
49,245,13,188,1
192,241,212,9,1
31,24,176,249,1
196,245,148,20,1
121,165,81,20,1
108,62,59,79,1
201,155,182,49,1
221,159,34,158,1
103,147,35,54,1
209,94,190,123,1
134,122,63,199,1
122,117,237,94,1
197,255,139,132,1
34,88,113,183,1
210,18,169,167,1
35,178,199,177,1
182,23,54,0,1
93,7,62,251,1
118,123,105,86,1
94,43,1,22,1
34,91,127,26,1
64,227,140,80,1
123,31,47,4,1
74,130,244,54,1
1,70,129,151,1
218,151,73,148,1
146,185,236,132,1
136,35,217,5,1
88,147,138,226,1
175,145,63,38,1
91,250,100,33,1
192,241,227,14,1
159,65,141,99,1
154,37,175,249,1
27,102,116,12,1
187,73,12,96,1
62,16,53,62,1
186,251,160,215,1
94,210,158,5,1
159,196,46,233,1
85,175,101,116,1
143,110,156,248,1
109,108,136,147,1
113,26,94,34,1
122,3,145,89,1
47,50,235,150,1
80,117,240,240,1
121,239,65,203,1
210,183,131,138,1
58,142,68,139,1
172,105,110,32,1
162,191,3,206,1
192,251,226,64,1
178,134,219,178,1
54,36,182,160,1
116,105,161,23,1
195,179,193,44,1
186,47,212,166,1
187,147,215,233,1
187,69,96,20,1
183,82,143,199,1
43,155,144,20,1
65,173,108,155,1
90,222,79,47,1
79,157,255,154,1
46,33,39,80,1
42,5,52,137,1
39,98,241,209,1
170,246,85,9,1
172,94,87,72,1
125,228,94,199,1
95,153,109,222,1
213,148,174,46,1
86,111,48,72,1
112,116,124,39,1
77,38,198,124,1
139,198,106,179,1
195,154,122,146,1
95,211,206,202,1
124,234,224,239,1
14,175,49,175,1
124,89,86,194,1
80,44,158,84,1
166,161,41,89,1
177,54,189,33,1
50,20,246,175,1
115,93,130,116,1
193,35,18,238,1
176,111,174,88,1
159,65,188,128,1
94,182,190,241,1
221,118,132,241,1
216,152,249,36,1
190,183,182,255,1
59,178,73,156,1
201,172,171,117,1
125,241,41,21,1
112,205,132,124,1
110,182,175,95,1
85,208,98,29,1
5,167,64,231,1
116,241,207,248,1
138,204,70,186,1
198,235,24,243,1
64,124,8,39,1
220,161,7,6,1
109,248,156,226,1
58,142,63,187,1
42,52,108,16,1
117,252,254,77,1
112,166,4,238,1
142,93,52,113,1
31,184,196,226,1
108,62,60,76,1
69,164,215,131,1
157,55,39,244,1
189,216,168,154,1
35,238,16,223,1
59,178,33,9,1
82,208,20,64,1
93,202,138,240,1
38,242,208,72,1
2,59,119,116,1
89,203,249,122,1
160,124,49,167,1
99,177,195,115,1
200,85,106,162,1
43,143,142,159,1
103,209,143,236,1
61,2,97,9,1
173,234,225,222,1
195,209,44,241,1
134,209,159,173,1
68,7,89,165,1
123,3,98,59,1
66,29,166,110,1
81,163,59,45,1
147,78,3,239,1
108,62,56,30,1
180,109,79,128,1
201,236,237,151,1
88,95,93,130,1
5,167,69,252,1
199,27,158,38,1
14,44,75,114,1
59,182,42,145,1
5,167,68,22,1
180,92,153,113,1
109,229,28,11,1
101,13,1,41,1
185,104,113,119,1
98,236,129,22,1
185,180,143,171,1
164,92,181,212,1
46,46,242,42,1
20,19,251,240,1
147,78,103,215,1
143,137,127,46,1
110,252,94,124,1
132,226,21,29,1
95,217,56,250,1
144,48,227,66,1
117,82,28,127,1
75,243,244,0,1
58,208,205,174,1
186,225,10,51,1
46,245,80,57,1
89,44,176,196,1
45,182,16,199,1
189,111,56,218,1
117,235,81,47,1
67,22,223,9,1
43,159,199,71,1
113,171,131,110,1
113,229,161,23,1
176,70,208,208,1
219,69,110,206,1
34,125,237,161,1
112,230,78,219,1
79,175,205,181,1
42,192,233,43,1
63,47,120,77,1
1,221,114,213,1
143,110,240,102,1
210,139,142,238,1
143,244,141,173,1
122,143,246,119,1
92,241,127,1,1
216,152,252,41,1
117,195,41,181,1
178,12,27,19,1
195,154,183,114,1
73,111,2,84,1
119,67,3,119,1
186,23,233,126,1
112,165,189,231,1
129,151,160,87,1
18,167,139,85,1
34,151,90,5,1
81,24,82,69,1
101,251,6,34,1
103,178,234,225,1
183,180,79,49,1
64,227,141,151,1
190,137,180,107,1
185,201,9,93,1
164,52,203,171,1
109,168,97,89,1
113,164,67,20,1
143,198,38,129,1
109,248,204,162,1
79,1,42,147,1
189,130,185,66,1
216,151,138,192,1
165,232,136,63,1
146,185,238,76,1
210,186,40,163,1
173,234,225,31,1
77,120,245,228,1
36,229,7,108,1
185,2,160,19,1
119,237,50,138,1
45,83,66,211,1
183,246,185,7,1
106,58,110,129,1
49,232,17,225,1
5,253,244,170,1
197,221,254,83,1
187,85,17,16,1
107,179,60,168,1
172,176,194,180,1
219,79,117,229,1
115,21,237,138,1
49,71,81,253,1
164,92,133,143,1
182,227,130,233,1
89,185,31,54,1
223,10,58,133,1
95,181,157,112,1
159,203,128,218,1
176,8,16,206,1
74,91,117,209,1
66,240,219,173,1
63,47,126,105,1
124,31,105,165,1
205,164,19,59,1
108,62,59,252,1
149,129,237,50,1
119,6,55,57,1
117,233,215,237,1
45,86,200,207,1
67,140,176,228,1
181,214,218,68,1
185,189,208,177,1
117,233,135,135,1
117,157,122,20,1
94,28,190,144,1
117,215,144,54,1
59,178,1,87,1
49,64,164,207,1
58,210,96,156,1
222,94,174,255,1
90,138,207,155,1
212,220,1,228,1
131,106,62,43,1
202,184,137,242,1
187,158,110,18,1
38,171,200,129,1
87,19,255,61,1
138,68,4,8,1
117,60,181,90,1
20,223,126,184,1
91,184,52,3,1
59,91,187,131,1
45,94,43,130,1
103,159,206,149,1
114,29,96,41,1
181,84,108,242,1
20,219,217,110,1
164,92,196,227,1
43,153,170,186,1
49,73,191,234,1
111,61,209,220,1
162,191,52,68,1
94,197,33,163,1
178,166,13,154,1
216,151,137,11,1
43,134,94,180,1
95,173,183,28,1
91,195,124,11,1
27,57,45,132,1
82,64,162,213,1
61,142,105,238,1
177,207,164,143,1
61,2,145,227,1
101,32,14,246,1
208,175,137,169,1
95,71,126,250,1
220,133,24,52,1
66,249,66,111,1
49,86,72,203,1
202,43,160,142,1
14,170,178,126,1
5,45,207,176,1
59,126,167,243,1
70,163,236,36,1
104,28,195,186,1
5,167,66,41,1
183,238,49,125,1
5,101,140,75,1
185,188,218,9,1
142,93,255,214,1
189,93,55,119,1
121,234,177,96,1
179,125,231,24,1
85,215,167,108,1
143,198,141,143,1
183,4,29,152,1
219,79,9,194,1
117,233,243,79,1
103,180,166,60,1
112,201,162,8,1
114,39,17,114,1
149,56,111,41,1
5,167,67,8,1
181,17,131,11,1
201,121,88,188,1
141,136,41,81,1
71,171,123,161,1
61,7,230,237,1
58,187,46,37,1
121,238,166,192,1
93,99,104,194,1
118,71,135,185,1
43,134,112,203,1
121,167,152,115,1
120,57,214,0,1
198,245,49,215,1
61,52,4,134,1
121,46,25,182,1
